Título;Tema;Breve descrição;Tem Aplicativo;Tem Painel de Gestão;Foi Implementado;Teve usuários;Suporte via profissional de saúde;Integração com prefeituras;Integração com sistemas públicos;Tecnologias utilizadas;Ano;Link PDF
PADRÃO OURO: DESENVOLVIMENTO E AVALIAÇÃO DE APLICATIVO MÓVEL SOBRE ALEITAMENTO MATERNO PARA ENFERMEIROS;Aleitamento Materno;Aplicativo mobile educacional para enfermeiros sobre aleitamento materno, com seis módulos de conteúdo e avaliação por especialistas, baseado na Teoria da Aprendizagem Multimídia;Sim;Não;Protótipo;Não;Não Claro;Não;Não;Canva pró,React,Firebase,Vercel;2023;http://repositorio.ufpi.br:8080/bitstream/handle/123456789/3988/AMANDA%20LUCIA%20BARRETO%20DANTAS.pdf?sequence=1
SOS MAMA: APLICATIVO MOVEL PARA PUERPERAS QUE VIVENCIAM DIFICULDADES NO ALEITAMENTO MATERNO;Aleitamento Materno;Dissertação de mestrado que apresenta o SOS MAMA, um aplicativo móvel voltado para puérperas com dificuldades no aleitamento materno.;Sim;Não;Não Claro;Não Claro;Não Claro;Não;Não;Não especificado;2020;https://tede2.ufma.br/jspui/bitstream/tede/3453/2/Ana%20Paula%20Matos%20Ferreira0-2.pdf
Amamentação com amor: um aplicativo móvel para as lactantes;Aleitamento Materno;Aplicativo Android gratuito desenvolvido com Flutter/Dart e Firebase, voltado a gestantes, puérperas e familiares para fornecer informações seguras e interativas sobre aleitamento materno e cuidados com recém-nascido;Sim;Não;Sim;Não Claro;Não Claro;Não;Não;Flutter, Dart, Firebase, Android Studio;2023;https://ojs.brazilianjournals.com.br/ojs/index.php/BJHR/article/view/62051/44686
Uma ontologia de aplicação e plataforma móvel para acompanhamento e promoção do aleitamento materno;Aleitamento Materno;Aplicativo Android com ontologia em OWL-DL para classificar intercorrências mamárias e recomendar manejo terapêutico, incluindo conteúdos educativos e suporte de profissionais;Sim;Não Claro;Sim;Não;Sim;Não Claro;Não;Flutter, Dart, Firebase, Protégé, OWL-DL;2021;https://ppgcc.ufersa.edu.br/wp-content/uploads/sites/42/2022/03/Disserta__o_ThaliaGurgel_Ame.pdf
Produção de aplicativo móvel para orientações a mulher no puerpério;Puerpério;Aplicativo Android educativo com vídeos, ilustrações e conteúdos validados sobre aleitamento, saúde mental, traumas perineais e cuidados com o bebê, desenvolvido em Android Studio/Java;Sim;Não;Sim;Não;Sim;Não;Não;Android Studio, Java, Google Sites;2021;https://tede.unioeste.br/bitstream/tede/5782/5/Angela_Capelete2021.pdf
Desenvolvimento e validação de aplicativo em saúde no período puerperal;Puerpério;Aplicativo Android offline informativo desenvolvido em React Native para mulheres no puerpério, validado por profissionais de saúde e TI e por puérperas;Sim;Não;Sim;Sim;Sim;Não;Não;React Native, JavaScript, Google Forms, SPSS;2022;https://repositorio.ufrn.br/server/api/core/bitstreams/f85a5aaa-878d-4a6c-93e2-90dbf98d9c16/content
Construção de tecnologia m-health para a promoção do aleitamento materno;Nutrizes;Aplicativo Android “Amamente” educativo sobre aleitamento, com 11 interfaces, vídeos, cartilhas e interação com profissionais, validado e registrado no INPI;Sim;Não;Sim;Sim;Sim;Não;Não;JavaScript, React, PostgreSQL, Android, Adobe Illustrator, Pressman, Registro INPI BR512021002438-9;2025;https://www.periodicos.ufpi.br/index.php/reufpi/article/view/4740/5003
AMAR – Aplicativo de Monitoramento, Acompanhamento e Rastreio do Desenvolvimento Infantil – um estudo de desenvolvimento e validade do conteúdo;Desenvolvimento Infantil;Sistema web e aplicativo mobile para acompanhamento compartilhado do crescimento e desenvolvimento infantil, com módulos para profissionais e famílias, validado quanto ao conteúdo;Sim;Sim;Sim;Sim;Sim;Não;Não;React, Django Rest Framework, PostgreSQL, Adobe XD;2021;https://repositorio.ufrn.br/server/api/core/bitstreams/34e3a6de-a6ba-4452-96c0-085683542fb3/content
Avaliação da usabilidade de um aplicativo móvel como facilitador de acesso a serviços de saúde de atenção à gestante de uma maternidade no sul do Maranhão;Gestantes de alto risco;Aplicativo Android com painel profissional e acesso gestante para comunicação, prontuário digital e informações de assistência, testado quanto à usabilidade por profissionais;Sim;Sim;Sim;Sim;Sim;Não;Não;Aplicativo Android, Web chat, Prontuário digital, Desktop;2021;https://repositorio.ufc.br/bitstream/riufc/58371/1/2021_art_lhamaciel.pdf
Construção e validação de uma tecnologia móvel para apoio às mães de recém-nascidos prematuros;Mães de recém-nascidos pré-termo;Aplicativo Android gratuito para orientação pós-alta sobre cuidados neonatais, validado por especialistas em neonatologia, com linguagem acessível e tópicos como Método Canguru, amamentação e higiene;Sim;Não;Sim;Sim;Sim;Não;Não;Canva.com, SPSS, Design Centrado no Usuário, Google Forms, Excel;2025;https://www.scielo.br/j/reben/a/BDf6xDYL7Bykf6jVPtyhjqM/?format=pdf&lang=pt
Sistema AcGest para assistência à saúde de gestantes e puérperas na atenção primária;Gestantes, puérperas, ACS e profissionais da ESF;Sistema integrado com dois aplicativos Android e módulo Web para gestão de cadastros, visitas domiciliares, ocorrências e registros pré/pós-natal, validado em ambiente simulado e pronto para teste com público-alvo;Sim;Sim;Sim;Não;Sim;Não;Não;Android Studio, Java, XML, Microsoft Power Platform, Cloud Computing, Registro INPI BR512020026554;2023;https://interfaces.unileao.edu.br/index.php/revista-interfaces/article/view/1189/947
Web app for the monitoring of pregnant and puerperal women: technological production;Gestantes e puérperas;Aplicativo web/móvel Gestar Care® para acompanhamento remoto com vídeo, texto e registro em prontuário eletrônico, validado via técnica Delphi e implementado online;Sim;Sim;Sim;Sim;Sim;Não;Não;Easy Easy App, SCRUM, TRELLO, Python, Django, Bootstrap, MySQL, Servidor Linux (Digital Ocean), Registro INPI BR512019002855-4;2022;https://research.ebsco.com/linkprocessor/plink?id=335b2485-3110-3f85-a76d-6a3d095b3674
